image_path,breed,is_calf,fold
Sahiwal/Sahiwal_1.JPG,Sahiwal,0,4
Sahiwal/Sahiwal_100.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_102.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_104.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_106.png,Sahiwal,0,4
Sahiwal/Sahiwal_108.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_11.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_111.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_113.jpeg,Sahiwal,0,1
Sahiwal/Sahiwal_115.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_118.jpeg,Sahiwal,0,4
Sahiwal/Sahiwal_12.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_121.png,Sahiwal,0,2
Sahiwal/Sahiwal_123.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_125.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_127.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_129.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_130.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_132.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_134.jpeg,Sahiwal,0,4
Sahiwal/Sahiwal_136.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_138.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_14.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_141.jpeg,Sahiwal,0,0
Sahiwal/Sahiwal_143.png,Sahiwal,0,1
Sahiwal/Sahiwal_145.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_148.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_15.png,Sahiwal,0,4
Sahiwal/Sahiwal_151.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_154.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_156.png,Sahiwal,0,1
Sahiwal/Sahiwal_158.png,Sahiwal,0,2
Sahiwal/Sahiwal_16.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_161.png,Sahiwal,0,1
Sahiwal/Sahiwal_163.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_165.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_167.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_169.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_170.png,Sahiwal,0,3
Sahiwal/Sahiwal_172.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_174.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_176.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_18.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_181.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_183.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_185.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_187.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_190.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_192.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_194.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_196.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_198.png,Sahiwal,0,3
Sahiwal/Sahiwal_2.JPG,Sahiwal,0,2
Sahiwal/Sahiwal_200.png,Sahiwal,0,0
Sahiwal/Sahiwal_202.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_204.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_206.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_208.jpeg,Sahiwal,0,0
Sahiwal/Sahiwal_21.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_211.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_213.png,Sahiwal,0,2
Sahiwal/Sahiwal_215.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_218.png,Sahiwal,0,0
Sahiwal/Sahiwal_22.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_221.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_223.jpg,Sahiwal,0,0
Sahiwal/Sahiwal_225.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_227.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_229.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_230.jpeg,Sahiwal,0,0
Sahiwal/Sahiwal_232.jpg,Sahiwal,0,2
Sahiwal/Sahiwal_234.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_236.jpg,Sahiwal,0,1
Sahiwal/Sahiwal_238.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_24.jpg,Sahiwal,0,4
Sahiwal/Sahiwal_241.jpg,Sahiwal,0,3
Sahiwal/Sahiwal_243.jpg,Sahiwal,0,0
